Country,Year,ANTIGEN,COVERAGE_CATEGORY,COVERAGE_CATEGORY_DESCRIPTION,COVERAGE
New Zealand,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,93
Nicaragua,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Niger,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,79
Nigeria,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,61
Niue,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
North Macedonia,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,92
Norway,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
"occupied Palestinian territory, including east Jerusalem",2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Oman,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Pakistan,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,80
Palau,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Panama,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,88
Papua New Guinea,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,35
Paraguay,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,88
Peru,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,89
Philippines,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,84
Poland,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Portugal,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Qatar,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Republic of Korea,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Republic of Moldova,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,93
Romania,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,86
Russian Federation,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
Rwanda,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
Saint Kitts and Nevis,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Saint Lucia,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Saint Vincent and the Grenadines,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
Samoa,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,44
San Marino,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,90
Sao Tome and Principe,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Saudi Arabia,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Senegal,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,92
Serbia,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Seychelles,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Sierra Leone,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,93
Singapore,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
Slovakia,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Slovenia,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,93
Solomon Islands,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,85
Somalia,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,42
South Africa,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,82
South Sudan,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,59
Spain,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Sri Lanka,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Sudan,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,93
Suriname,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,81
Sweden,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
Switzerland,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Syrian Arab Republic,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,60
Tajikistan,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Thailand,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
Timor-Leste,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,83
Togo,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,81
Tonga,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Trinidad and Tobago,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Tunisia,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
Türkiye,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Turkmenistan,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Tuvalu,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,89
Uganda,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,93
Ukraine,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,69
United Arab Emirates,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
United Kingdom of Great Britain and Northern Ireland,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,94
United Republic of Tanzania,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,89
United States of America,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,94
Uruguay,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,91
Uzbekistan,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Vanuatu,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,85
Venezuela (Bolivarian Republic of),2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,60
Viet Nam,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,75
Yemen,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,54
Zambia,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,90
Zimbabwe,2018,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,89
Afghanistan,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,63
Albania,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Algeria,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,91
Andorra,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Angola,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,56
Antigua and Barbuda,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Argentina,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,86
Armenia,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,94
Australia,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Austria,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,90
Azerbaijan,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Bahamas,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,94
Bahrain,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
Bangladesh,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Barbados,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,90
Belarus,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
Belgium,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Belize,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,88
Benin,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,75
Bhutan,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Bolivia (Plurinational State of),2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,84
Bosnia and Herzegovina,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,75
Botswana,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Brazil,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,83
Brunei Darussalam,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Bulgaria,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,92
Burkina Faso,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,91
Burundi,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,91
Cabo Verde,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Cambodia,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,90
Cameroon,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,74
Canada,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,91
Central African Republic,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,42
Chad,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,41
Chile,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,93
China,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Colombia,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,92
Comoros,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,79
Congo,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,69
Cook Islands,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Costa Rica,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Côte d'Ivoire,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,83
Croatia,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,92
Cuba,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Cyprus,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
Czechia,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Democratic People's Republic of Korea,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
Democratic Republic of the Congo,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,71
Denmark,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Djibouti,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,76
Dominica,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,91
Dominican Republic,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,84
Ecuador,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,85
Egypt,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,94
El Salvador,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,92
Equatorial Guinea,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,56
Eritrea,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Estonia,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,93
Eswatini,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,90
Ethiopia,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,68
Fiji,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,91
Finland,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,89
France,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Gabon,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,75
Gambia,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,92
Georgia,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,91
Germany,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,91
Ghana,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Greece,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Grenada,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Guatemala,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,91
Guinea,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,47
Guinea-Bissau,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,79
Guyana,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
Haiti,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,64
Honduras,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,90
Hungary,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Iceland,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,89
India,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,89
Indonesia,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,85
Iran (Islamic Republic of),2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Iraq,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,81
Ireland,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Israel,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Italy,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Jamaica,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,93
Japan,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Jordan,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Kazakhstan,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Kenya,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,81
Kiribati,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,90
Kuwait,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Kyrgyzstan,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,92
Lao People's Democratic Republic,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,84
Latvia,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Lebanon,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,79
Lesotho,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,87
Liberia,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,80
Libya,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Lithuania,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,94
Luxembourg,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Madagascar,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,65
Malawi,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,88
Malaysia,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Maldives,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Mali,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,77
Malta,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Marshall Islands,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,80
Mauritania,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,76
Mauritius,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,94
Mexico,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,85
Micronesia (Federated States of),2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,73
Monaco,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Mongolia,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Montenegro,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,87
Morocco,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Mozambique,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,85
Myanmar,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,89
Namibia,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,88
Nauru,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,87
Nepal,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,90
Netherlands (Kingdom of the),2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,94
New Zealand,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,94
Nicaragua,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Niger,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,85
Nigeria,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,55
Niue,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
North Macedonia,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,91
Norway,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
"occupied Palestinian territory, including east Jerusalem",2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Oman,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Pakistan,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,75
Palau,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
Panama,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,81
Papua New Guinea,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,36
Paraguay,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,91
Peru,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,89
Philippines,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,84
Poland,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Portugal,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Qatar,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
Republic of Korea,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
Republic of Moldova,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,88
Romania,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,82
Russian Federation,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
Rwanda,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Saint Kitts and Nevis,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Saint Lucia,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,80
Saint Vincent and the Grenadines,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Samoa,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,67
San Marino,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,88
Sao Tome and Principe,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Saudi Arabia,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Senegal,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,93
Serbia,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Seychelles,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
Sierra Leone,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,90
Singapore,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Slovakia,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Slovenia,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,94
Solomon Islands,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,83
Somalia,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,42
South Africa,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,84
South Sudan,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,52
Spain,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Sri Lanka,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Sudan,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Suriname,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,67
Sweden,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
Switzerland,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Syrian Arab Republic,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,61
Tajikistan,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Thailand,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Timor-Leste,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,83
Togo,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,83
Tonga,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Trinidad and Tobago,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,89
Tunisia,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Türkiye,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Turkmenistan,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Tuvalu,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Uganda,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,94
Ukraine,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,50
United Arab Emirates,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
United Kingdom of Great Britain and Northern Ireland,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,94
United Republic of Tanzania,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,90
United States of America,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,94
Uruguay,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,93
Uzbekistan,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Vanuatu,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,85
Venezuela (Bolivarian Republic of),2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,66
Viet Nam,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,94
Yemen,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,59
Zambia,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,94
Zimbabwe,2017,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,89
Afghanistan,2016,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,65
Albania,2016,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Algeria,2016,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,91
Andorra,2016,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Angola,2016,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,59
Antigua and Barbuda,2016,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,92
Argentina,2016,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,92
Armenia,2016,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,94
Australia,2016,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,94
Austria,2016,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,87
Azerbaijan,2016,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
Bahamas,2016,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,94
Bahrain,2016,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Bangladesh,2016,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Barbados,2016,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
Belarus,2016,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Belgium,2016,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Belize,2016,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Benin,2016,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,76
